"offers_before_rescue","prob","strata"
0,0.00506649778340718,"Belgium"
1,0.0111891654893554,"Belgium"
2,0.0335773353273323,"Belgium"
3,0.054443279223674,"Belgium"
4,0.077854587303418,"Belgium"
5,0.114234251955256,"Belgium"
6,0.150194827196388,"Belgium"
7,0.197145389229737,"Belgium"
8,0.23192609438946,"Belgium"
9,0.27836777240312,"Belgium"
10,0.309743086646463,"Belgium"
11,0.356146912754264,"Belgium"
12,0.440461007512634,"Belgium"
13,0.489543375274684,"Belgium"
14,0.537027712458434,"Belgium"
15,0.616394390322702,"Belgium"
18,0.638959426186073,"Belgium"
19,0.669046140670567,"Belgium"
23,0.779364093780378,"Belgium"
24,0.834523070335284,"Belgium"
25,0.889682046890189,"Belgium"
0,0.0018842069201781,"Germany"
1,0.0120749480169283,"Germany"
2,0.0324893148857806,"Germany"
3,0.0639101607260709,"Germany"
4,0.0992989229425244,"Germany"
5,0.144676759010299,"Germany"
6,0.196233537196582,"Germany"
7,0.246782259649395,"Germany"
8,0.302327878136789,"Germany"
9,0.37155425922089,"Germany"
10,0.432156548592068,"Germany"
11,0.490030281649231,"Germany"
12,0.54824600292215,"Germany"
13,0.604824056506081,"Germany"
14,0.650188641856148,"Germany"
15,0.702774663015028,"Germany"
16,0.742760134358298,"Germany"
17,0.780368301849775,"Germany"
18,0.811497203949807,"Germany"
19,0.841577437362072,"Germany"
20,0.867587111825015,"Germany"
21,0.88380093486685,"Germany"
22,0.896032415407182,"Germany"
23,0.902530389444233,"Germany"
24,0.913360346172651,"Germany"
25,0.921611741775256,"Germany"
26,0.927641607792544,"Germany"
27,0.936686406818476,"Germany"
29,0.952514805113857,"Germany"
31,0.968343203409238,"Germany"
35,1,"Germany"
0,0.00121359223300976,"Austria"
1,0.0120363551654694,"Austria"
2,0.0381499316809195,"Austria"
3,0.0734177675192857,"Austria"
4,0.0961281163545974,"Austria"
5,0.135426893904397,"Austria"
6,0.190612411314755,"Austria"
7,0.214417928629027,"Austria"
8,0.306839348790318,"Austria"
9,0.344307492098949,"Austria"
10,0.389527665057643,"Austria"
12,0.421657787949346,"Austria"
13,0.510633512880216,"Austria"
20,1,"Austria"
0,0.00236966824644547,"Netherlands"
1,0.0108361208497287,"Netherlands"
2,0.0321466532551206,"Netherlands"
3,0.0496643608885121,"Netherlands"
4,0.0694042703062582,"Netherlands"
5,0.0801419133411859,"Netherlands"
6,0.128096600323399,"Netherlands"
7,0.165540304603989,"Netherlands"
8,0.198393048517218,"Netherlands"
9,0.215448515570043,"Netherlands"
10,0.236652609743826,"Netherlands"
11,0.333805913958248,"Netherlands"
12,0.400425322562423,"Netherlands"
13,0.483125278071054,"Netherlands"
14,0.569271065059212,"Netherlands"
15,0.62311218192681,"Netherlands"
16,0.706865030387519,"Netherlands"
17,0.790617878848228,"Netherlands"
19,0.860411919232152,"Netherlands"
27,1,"Netherlands"
0,0.00146198830409361,"Hungary"
1,0.00574755916974123,"Hungary"
2,0.0245070391854065,"Hungary"
3,0.0542174846924499,"Hungary"
4,0.105939965998332,"Hungary"
5,0.179676876019088,"Hungary"
6,0.296865893730647,"Hungary"
7,0.339053940106808,"Hungary"
8,0.356917347130948,"Hungary"
9,0.40285182233588,"Hungary"
10,0.459723077351511,"Hungary"
11,0.561025000348103,"Hungary"
12,0.634187500290085,"Hungary"
13,0.674833333591187,"Hungary"
17,0.837416666795594,"Hungary"
18,1,"Hungary"
1,0.00294550810014726,"Croatia"
2,0.0159279884634266,"Croatia"
3,0.0472393706486812,"Croatia"
4,0.0636662780512902,"Croatia"
5,0.118744732283567,"Croatia"
6,0.192182671259937,"Croatia"
7,0.293159837352445,"Croatia"
8,0.349707050364249,"Croatia"
9,0.380673381299285,"Croatia"
10,0.445865656951992,"Croatia"
11,0.515132449832993,"Croatia"
12,0.735526790817996,"Croatia"
14,0.867763395408998,"Croatia"
17,0.933881697704499,"Croatia"
18,1,"Croatia"
0,0.00374531835205993,"Slovenia"
1,0.0142322097378278,"Slovenia"
2,0.0215341933693994,"Slovenia"
3,0.0530976064865155,"Slovenia"
4,0.142669454521575,"Slovenia"
5,0.182545293846153,"Slovenia"
7,0.218086802809364,"Slovenia"
8,0.296278122528427,"Slovenia"
9,0.346543970919254,"Slovenia"
10,0.411889573827328,"Slovenia"
11,0.63243098364208,"Slovenia"
13,0.81621549182104,"Slovenia"
26,1,"Slovenia"
